Order_ID,Order_Date,Product_Name,Category,Price,Quantity,Total_Amount,Customer_City,State,Payment_Method,Order_Status,Delivery_Time_Days
ORD1,2025-04-12,Kurti,Beauty,1721,3,5163,Kolkata,Maharashtra,Credit Card,Returned,4
ORD2,2025-02-06,T-shirt,Fashion,616,1,616,Chennai,West Bengal,Debit Card,Delivered,10
ORD3,2025-11-11,T-shirt,Beauty,1211,4,4844,Delhi,Karnataka,Debit Card,Cancelled,9
ORD4,2025-11-27,Home Decor,Accessories,1771,3,5313,Bangalore,Telangana,Debit Card,Cancelled,5
ORD5,2025-01-13,Watch,Beauty,707,1,707,Chennai,Maharashtra,Debit Card,Returned,10
ORD6,2025-03-30,Home Decor,Beauty,623,3,1869,Mumbai,Karnataka,Debit Card,Cancelled,3
ORD7,2025-06-27,Watch,Beauty,1869,1,1869,Chennai,West Bengal,Debit Card,Returned,10
ORD8,2025-07-27,Bedsheet,Home,1758,1,1758,Bangalore,West Bengal,Credit Card,Returned,4
ORD9,2025-04-18,Bag,Beauty,1744,3,5232,Chennai,Karnataka,UPI,Delivered,5
ORD10,2025-06-24,Bag,Beauty,845,4,3380,Kolkata,Telangana,Credit Card,Delivered,5
ORD11,2025-08-15,Jeans,Fashion,1294,5,6470,Delhi,Maharashtra,Debit Card,Returned,8
ORD12,2025-11-28,Bedsheet,Beauty,1151,5,5755,Kolkata,Tamil Nadu,COD,Delivered,10
ORD13,2025-03-09,Kurti,Beauty,1429,3,4287,Chennai,Delhi,Debit Card,Cancelled,8
ORD14,2025-02-24,T-shirt,Home,781,2,1562,Mumbai,Telangana,COD,Delivered,4
ORD15,2025-04-19,Saree,Home,676,4,2704,Delhi,Delhi,COD,Cancelled,10
ORD16,2025-09-15,Watch,Accessories,538,5,2690,Bangalore,Karnataka,Debit Card,Delivered,3
ORD17,2025-08-22,Watch,Accessories,1378,5,6890,Delhi,Telangana,Debit Card,Delivered,9
ORD18,2025-03-02,Home Decor,Accessories,410,3,1230,Mumbai,Maharashtra,COD,Returned,6
ORD19,2025-11-11,Shoes,Home,533,2,1066,Delhi,Tamil Nadu,Debit Card,Cancelled,7
ORD20,2025-03-12,Bag,Beauty,1923,1,1923,Hyderabad,Karnataka,Debit Card,Delivered,9
ORD21,2025-12-28,Saree,Home,1675,4,6700,Bangalore,Delhi,COD,Delivered,8
ORD22,2025-11-26,Kurti,Accessories,801,2,1602,Mumbai,Telangana,COD,Cancelled,2
ORD23,2025-08-19,Saree,Fashion,643,3,1929,Hyderabad,Telangana,Debit Card,Cancelled,4
ORD24,2025-10-31,Saree,Accessories,1261,1,1261,Kolkata,Delhi,Credit Card,Cancelled,8
ORD25,2025-03-19,Saree,Beauty,429,3,1287,Mumbai,Karnataka,UPI,Returned,5
ORD26,2025-10-17,Jeans,Accessories,1699,2,3398,Mumbai,Maharashtra,Credit Card,Cancelled,3
ORD27,2025-05-11,T-shirt,Home,212,5,1060,Hyderabad,Karnataka,COD,Returned,5
ORD28,2025-05-12,Shoes,Home,889,4,3556,Chennai,Karnataka,UPI,Cancelled,6
ORD29,2025-01-24,Saree,Accessories,1729,4,6916,Bangalore,Delhi,UPI,Cancelled,5
ORD30,2025-10-29,Watch,Fashion,1699,1,1699,Delhi,Maharashtra,Debit Card,Returned,6
ORD31,2025-04-25,Makeup Kit,Home,211,3,633,Mumbai,Telangana,COD,Delivered,9
ORD32,2025-07-07,Saree,Accessories,1034,3,3102,Delhi,Karnataka,Debit Card,Delivered,8
ORD33,2025-12-04,Bedsheet,Beauty,640,1,640,Hyderabad,Telangana,Credit Card,Cancelled,8
ORD34,2025-04-07,Kurti,Fashion,1191,5,5955,Kolkata,West Bengal,UPI,Returned,8
ORD35,2025-08-15,Bedsheet,Beauty,949,1,949,Bangalore,Telangana,Credit Card,Cancelled,4
ORD36,2025-01-04,T-shirt,Home,1237,4,4948,Bangalore,Tamil Nadu,COD,Cancelled,9
ORD37,2025-05-04,Home Decor,Accessories,395,2,790,Bangalore,Tamil Nadu,Debit Card,Returned,5
ORD38,2025-07-07,Home Decor,Home,1474,4,5896,Hyderabad,Tamil Nadu,UPI,Delivered,5
ORD39,2025-06-18,Saree,Beauty,775,3,2325,Chennai,Tamil Nadu,COD,Returned,8
ORD40,2025-12-11,Bedsheet,Accessories,636,3,1908,Bangalore,Tamil Nadu,Debit Card,Delivered,4
ORD41,2025-01-29,Saree,Fashion,934,2,1868,Delhi,Karnataka,COD,Delivered,9
ORD42,2025-12-21,Home Decor,Home,431,1,431,Mumbai,West Bengal,COD,Cancelled,7
ORD43,2025-08-31,Home Decor,Accessories,1182,2,2364,Chennai,Maharashtra,Credit Card,Delivered,4
ORD44,2025-07-17,Shoes,Home,762,5,3810,Mumbai,Maharashtra,Debit Card,Delivered,3
ORD45,2025-01-30,Home Decor,Fashion,1694,1,1694,Mumbai,West Bengal,COD,Returned,3
ORD46,2025-12-19,Kurti,Accessories,443,4,1772,Bangalore,Telangana,Debit Card,Returned,9
ORD47,2025-03-20,Bedsheet,Accessories,1625,1,1625,Bangalore,Tamil Nadu,UPI,Cancelled,7
